first_name,middle_name,last_name,alien_number,date_of_birth,country_of_birth,facility_name,facility_location,custody_status,last_updated
CARLOS,,COC-MAZ,A243328846,2005-07-25,Colombia,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
CARLOS,,ENRIQUE-PERLAZA,A13394312,1972-03-19,Brazil,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
CARLOS,FUNES,CRUZ,A892660747,1983-07-27,Argentina,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
CARLOS,GONZALEZ,QUICHE,A514667335,1977-12-08,Ecuador,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
CARLOS,NAUN VELASQUEZ,VELASQUEZ,A451645923,1963-07-11,Costa Rica,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
CARLOS,PARDO,GOMEZ,A194990675,1996-07-27,Costa Rica,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
CARLOS,RAMIREZ,RAMOS,A580050766,1985-05-18,Panama,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
CARLOS,SASNABRIA,GUERRA,A651818573,1985-11-04,Peru,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
CARLOS,TELLEZ,LOPEZ,A518737755,1977-10-12,El Salvador,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
CARLOS,VELASQUEZ,CRUZ,A912851956,1972-10-22,Costa Rica,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
CARSON,,THEODORE-GARTH,A715773761,1983-01-24,Mexico,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
CAYETANO,MONTEJO,DOMINGO,A202378508,1967-04-24,Ecuador,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
CESAR,CAMAJA,ORDONEZ,A394378810,1979-07-04,Honduras,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
CESAR,,GUERRA-GUEVARA,A976046128,2007-03-29,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
CESAR,,MONTENEGRO-NAVARRO,A408734150,1996-06-12,Colombia,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
CESAR,OMAR,DUARTE,A777761694,1977-11-09,Peru,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
CHAD,,VIRTUE,A865017758,2006-05-15,Venezuela,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
CHRISTIAN,DUCHE,ALVARADO,A661337453,1991-06-03,Chile,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
CHRISTIAN,,JEREZ-QUITIAN,A926966358,1984-10-14,Colombia,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
CHRISTIAN,,SANTANA,A647798638,1995-09-27,Honduras,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
CHRISTOPHER,,ALFONSO-PABON,A876073849,1997-03-31,Mexico,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
CHUKWUEBUKA,,ONOH,A795079953,1986-11-12,Brazil,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
CHUKWUEMEKA,,OKORIE,A866481912,1980-06-24,Bolivia,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
CLEMENTE,RODRIGUEZ,ALMAZAN,A891142823,1973-10-09,Mexico,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
CORNELIO,GABRIEL,CALATE,A669704756,1967-09-06,Ecuador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
CRIPSON,RODRIGUEZ,DIAZ,A488457933,2003-12-26,Brazil,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
CRISTHIAN,PARRASI,SANTANA,A328216616,1999-07-02,Guatemala,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
CRISTOPHER,,AQUILAR-RECARTE,A21832552,1981-03-04,El Salvador,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
DANIEL,ESCOBAR,VASQUEZ,A317685458,1977-07-27,Ecuador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
DANIEL,,LEON-CARMONA,A860531157,1982-06-28,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
DANIEL,MUELA,GOMEZ,A288316157,1971-02-27,Mexico,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
DANIEL,OROZCO,GOEZ,A517071674,1977-11-29,Peru,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
DANIEL,ORTIZ,PINEDA,A134240892,1985-10-02,Chile,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
DANIEL,,RIVAS-HERNANDEZ,A456939219,1961-08-03,Colombia,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
DANIEL,,WINT,A928219410,1961-05-11,Costa Rica,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
DANILO,AQUIRES,LAGUNA,A993649430,1986-01-20,Costa Rica,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
DANILO,,HERNANDEZ-GREGORIO,A469688315,1976-02-08,El Salvador,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
DANILO,ICAL,ICO,A547720027,2004-01-01,Costa Rica,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
DANNY,VALDEZ,POLANCO,A61498356,1988-05-22,Costa Rica,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
DANY,,VELASQUEZ-RUIZ,A741334665,1990-08-21,Ecuador,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
DARIO,NUNEZ,ACOSTA,A575541845,2001-01-27,Brazil,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
DARIO,,SALES-MORALES,A190749369,1961-11-28,Nicaragua,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
DARWIN,MARTINEZ,DOMINGUEZ,A756983999,1979-07-13,Chile,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
DAVID,,DOMINGO-GODINEZ,A211894602,2000-08-03,El Salvador,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
DAVID,MORALES,QUITIAN,A812526113,1991-08-14,Venezuela,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
DAVID,,MURAT,A782518316,2003-02-13,Brazil,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
DAVID,SORTO,GALVEZ,A297060996,1975-12-12,Costa Rica,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
DAYGLE,,SARAVIA-TIJERINO,A563812688,2006-09-10,Peru,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
DEIBY,SANCHEZ,SANCHEZ,A284957972,1998-11-19,Ecuador,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
DEJAUNE,,SUTHERLAND,A71332565,1997-08-02,Panama,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
DELFINO,PEREZ,URETA,A531809624,1964-03-03,Honduras,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
DENIS,ALCIDES SOLIS,MORALES,A872801508,1995-10-06,Bolivia,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
DENIS,BRAVO,VERA,A898690093,1984-05-03,Ecuador,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
DENIS,DURAN,AGUILA,A945360743,1966-04-27,Ecuador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
DENIS,,MERAZ,A452801416,2007-01-02,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
DENNIS,ELUZAI,TREJO-GUTIERREZ,A877861862,1997-10-09,Honduras,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
DEYBIN,,GUZMAN-TORRES,A568902086,1984-06-18,Costa Rica,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
DIEGO,,BERNAL-VELOZ,A157427184,1995-07-06,Bolivia,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
DIEGO,CASTELLANOS,MUNOZ,A324949707,1992-02-29,Ecuador,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
DIEGO,COMEZ,OUTERREZ,A332804436,1976-06-19,El Salvador,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
DIEGO,GIL,CHAVES,A703828511,1977-09-07,Guatemala,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
DIEGO,HERRERA,DIAZ,A585970680,1987-05-27,Colombia,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
DIEGO,JUAREZ,OVIEDO,A206488917,1986-11-14,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
DIEGO,,MIGUEL-MATIAS,A20538736,1995-12-30,Colombia,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
DIEGO,,RAMIREZ-PEREZ,A77836878,1970-02-03,Mexico,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
DOMINGO,,HERNANDEZ-GOMEZ,A268795726,1996-08-14,Honduras,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
DOMINGO,ICAL,CHOC,A128179111,1979-03-11,Peru,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
DOMINGO,SALAS,MOTA,A128253738,1998-09-08,Colombia,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
DONAL,,BERDE-ZERON,A82221758,1998-03-12,Peru,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
DORIAN,,VELASQUEZ,A968656300,1969-07-01,Argentina,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
DOUGLAS,,CRUZ,A802002917,1978-02-15,Guatemala,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
DUC,,HOANG,A250951332,1975-08-27,Honduras,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
DUVIEL,CRESTELO,MARTIN,A831438844,2004-11-01,Panama,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
EDDY,LOPEZ,JEMOT,A418703012,2007-05-25,Argentina,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
EDGAR,,ESPINOZA,A26178853,2006-11-11,Colombia,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
EDGAR,PEREZ,SAJCHE,A70901243,1995-01-22,Colombia,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
EDGAR,PINA,TORRES,A977468751,2007-04-09,Ecuador,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
EDGAR,VENTURA,BRAVO,A824776658,1986-02-11,Argentina,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
EDI,,BARRIOS-URRUTIA,A259986077,2001-01-27,Mexico,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
EDMUNDO,RAMIREZ,OLIVERA,A142055885,1978-01-15,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
EDSON,RODRIGUEZ,ESTRADA,A10791339,1969-01-07,Venezuela,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
EDUARDO,,ACOSTA-DIAZ,A968038232,2000-08-05,Colombia,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
EDUARDO,ALVAREZ,HERRERA,A911447838,1979-10-29,Ecuador,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
EDUARDO,ALVAREZ,PEREZ,A434901572,1962-01-06,Bolivia,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
EDUARDO,,CARRILLO-GOMEZ,A456589898,1988-11-19,Mexico,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
EDUARDO,,DIEGUEZ-TRESPALACIOS,A660833730,1972-03-20,Brazil,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
EDUARDO,,PORTILLO-PORTALES,A996816189,1974-05-29,Ecuador,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
EDUARDO,,RAMOS,A137344447,1981-01-17,Mexico,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
EDUARDO,,TAVERA-MENDOZA,A542822489,1967-07-07,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
EDWARD,,RODRIGUEZ-TORREALBA,A583288116,1998-05-28,Bolivia,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
EDWIN,,BARRERA-LOPEZ,A146562867,2003-01-26,Chile,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
EDWIN,,OBANDO-BELTRAN,A873135976,1972-10-29,Nicaragua,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
EFRAIN,,HERNANDEZ-TZUQUEN,A803091863,1989-04-07,Ecuador,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
